Date,Town,State/Province,Latitude,Longitude,Number
7/14/2021,Quinte West,ON,44.2,-77.5,1
7/14/2021,Standish,ME,43.8,-70.6,1
7/14/2021,Sutton,MA,42.2,-71.7,1
7/14/2021,Toledo,OH,41.6,-83.6,1
7/13/2021,Arlington,MA,42.4,-71.2,1
7/13/2021,Bensalem,PA,40.1,-74.9,1
7/13/2021,Frederick,MD,39.4,-77.4,1
7/13/2021,Glen Mills,PA,39.9,-75.5,1
7/13/2021,Robeson Twp,PA,40.3,-75.8,2
7/13/2021,Rome,NY,43.2,-75.5,1
7/13/2021,Saint-Pierre,97500,46.8,-56.2,1
7/13/2021,Short Hills,NJ,40.7,-74.4,1
7/13/2021,Tulsa,OK,36.2,-96,1
7/13/2021,West Roxbury,MA,42.3,-71.2,1
7/12/2021,Allentown,PA,40.6,-75.5,1
7/12/2021,Clarksville,MD,39.2,-76.9,1
7/12/2021,Lancaster,PA,40.1,-76.3,1
7/12/2021,Riverview,NB,46,-64.8,1
7/12/2021,Sanborn,NY,43.1,-78.9,1
7/12/2021,Shinnston,WV,39.4,-80.3,2
7/12/2021,West Hants,NS,45,-64.2,1
7/12/2021,Woodstock,NY,42,-74.1,1
7/12/2021,Wynnewood,PA,40,-75.3,1
7/11/2021,Alpine,NY,42.3,-76.8,1
7/11/2021,Amsterdam,NY,43,-74.2,1
7/11/2021,Brewster,NY,41.4,-73.6,1
7/11/2021,Brownfield,ME,43.9,-70.9,1
7/11/2021,Colorado Springs,CO,38.9,-104.7,1
7/11/2021,Dutch John,UT,40.9,-109.3,1
7/11/2021,Glendale,RI,42,-71.6,1
7/11/2021,Glenshaw,PA,40.5,-80,1
7/11/2021,Hackettstown,NJ,40.9,-74.8,1
7/11/2021,Harrisville,RI,42,-71.7,1
7/11/2021,Lehi,UT,40.4,-111.9,1
7/11/2021,Marshfield,MA,42.1,-70.7,2
7/11/2021,Oklahoma City,OK,35.4,-97.7,1
7/11/2021,Ossining,NY,41.2,-73.9,1
7/11/2021,Pascoag,RI,42,-71.7,1
7/11/2021,Pickering,ON,43.8,-79.1,3
7/11/2021,Redwood City,CA,37.5,-122.2,1
7/11/2021,Rindge,NH,42.8,-72,1
7/11/2021,Riverside,PA,41,-76.6,1
7/11/2021,Savannah,GA,32,-81.1,1
7/11/2021,Stanhope,NJ,40.9,-74.7,1
7/11/2021,University Park,PA,40.8,-77.9,1
7/11/2021,Wauconda,IL,42.3,-88.1,1
7/11/2021,Wilmot,NH,43.4,-71.9,1
7/11/2021,Wolf Creek,MT,47.1,-112,1
7/10/2021,Albany,NY,42.7,-73.8,1
7/10/2021,Beachwood,OH,41.5,-81.5,2
7/10/2021,Bow,NH,43.1,-71.5,1
7/10/2021,Brampton,ON,43.7,-79.8,1
7/10/2021,Bronx,NY,40.8,-73.9,1
7/10/2021,Caldwell,NJ,40.9,-74.3,1
7/10/2021,Canton,OH,40.8,-81.4,1
7/10/2021,Charles Town,WV,39.3,-77.9,1
7/10/2021,Columbus,OH,40,-83,1
7/10/2021,East Aurora,NY,42.8,-78.6,1
7/10/2021,East Falmouth,MA,41.6,-70.6,1
7/10/2021,Franklin,NH,43.4,-71.6,1
7/10/2021,Franklin,NH,43.4,-71.6,1
7/10/2021,Franklin,NH,43.4,-71.6,1
7/10/2021,Gouldsboro,PA,41.2,-75.5,1
7/10/2021,Halifax,NS,44.7,-63.5,2
7/10/2021,Keene,NH,43,-72.3,1
7/10/2021,Los Angeles,CA,34,-118.3,1
7/10/2021,Louisville,KY,38.2,-85.7,1
7/10/2021,Mechanicsburg,PA,40.2,-77,2
7/10/2021,Mechanicsburg,PA,40.2,-77,1
7/10/2021,Millburn,NJ,40.7,-74.3,1
7/10/2021,Millerton,NY,42,-73.5,1
7/10/2021,Milton,NY,41.7,-74,2
7/10/2021,New Rochelle,NY,40.9,-73.8,2
7/10/2021,Norfolk,ON,42.8,-80.2,1
7/10/2021,Penfield,NY,43.2,-77.5,1
7/10/2021,Portland,ME,43.7,-70.3,1
7/10/2021,Rochester,NY,43.2,-77.7,1
7/10/2021,Salisbury,NC,35.7,-80.6,1
7/10/2021,Saratoga Springs,NY,43.1,-73.7,3
7/10/2021,Soledad,CA,36.4,-121.3,1
7/10/2021,South Windsor,CT,41.8,-72.5,1
7/10/2021,Tomball,TX,30.1,-95.6,1
7/10/2021,Toronto,ON,43.7,-79.3,2
7/10/2021,Town of Lisbon,NH,44.2,-71.9,1
7/10/2021,Town of Pepperell,MA,42.7,-71.6,1
7/10/2021,Washington,MI,42.7,-83,1
7/9/2021,Bally,PA,40.4,-75.6,4
7/9/2021,Boyertown,PA,40.4,-75.7,1
7/9/2021,Camillus,NY,43,-76.3,2
7/9/2021,Coopersburg,PA,40.5,-75.4,1
7/9/2021,Durham,CT,41.5,-72.7,3
7/9/2021,Festus,MO,38.2,-90.4,1
7/9/2021,Festus,MO,38.2,-90.4,1
7/9/2021,Holyoke,MA,42.2,-72.6,1
7/9/2021,Hubbard,OH,41.2,-80.6,1
7/9/2021,Landisville,PA,40.1,-76.4,1
7/9/2021,Laval,QC,45.6,-73.7,1
7/9/2021,Lyons,NE,42,-96.5,2
7/9/2021,New Cumberland,PA,40.2,-76.9,1
7/9/2021,Norman,OK,35.2,-97.4,1
7/9/2021,Orchard Park,NY,42.7,-78.8,5
7/9/2021,Plainview,NY,40.8,-73.5,2
7/9/2021,Rhinebeck,NY,41.9,-73.9,1
7/9/2021,Saginaw,MI,43.4,-84,1
7/9/2021,Sunbury,PA,40.9,-76.7,1
7/9/2021,Sylvania,OH,41.7,-83.7,1
7/9/2021,Taftville,CT,41.6,-72.1,0
7/9/2021,Wilton,CT,41.2,-73.4,1
7/8/2021,Ansonia,CT,41.3,-73.1,1
7/8/2021,Antigonish County,NS,45.7,-62,1
7/8/2021,Atco,NJ,39.8,-74.9,1
7/8/2021,Chestertown,MD,39.2,-76.1,1
7/8/2021,Clinton,NY,43,-75.4,1
7/8/2021,Corpus Christi,TX,27.7,-97.4,1
7/8/2021,Cranston,RI,41.8,-71.5,1
7/8/2021,Danville,KY,37.7,-84.7,1
7/8/2021,East Chicago,IN,41.7,-87.4,1
7/8/2021,Jackson,NJ,40.1,-74.4,1
7/8/2021,Luray,VA,38.5,-78.4,1
7/8/2021,Northwood,OH,41.6,-83.4,1
7/8/2021,Roslindale,MA,42.3,-71.1,1
7/8/2021,Webster,NY,43.2,-77.4,1
7/7/2021,Asbury Park,NJ,40.2,-74,1
7/7/2021,Beacon,NY,41.5,-73.9,1
7/7/2021,Buffalo,NY,43,-78.7,1
7/7/2021,Chester,NS,44.6,-64.3,1
7/7/2021,Columbia,MD,39.2,-76.9,1
7/7/2021,Florence,MA,42.3,-72.7,1
7/7/2021,Gainesville,VA,38.8,-77.6,1
7/7/2021,Halifax,NS,44.6,-63.5,1
7/7/2021,Loveland,CO,40.4,-105.1,1
7/7/2021,Lutherville Timonium,MD,39.4,-76.6,1
7/7/2021,Madison,CT,41.3,-72.6,1
7/7/2021,Monroe,NY,41.3,-74.2,1
7/7/2021,North Haven,CT,41.4,-72.9,1
7/7/2021,Old Saybrook,CT,41.3,-72.4,1
7/7/2021,Penfield,NY,43.1,-77.5,1
7/7/2021,Riverview,MI,42.2,-83.2,1
7/7/2021,San Antonio,TX,29.4,-98.7,1
7/7/2021,Shinnston,WV,39.4,-80.3,1
7/7/2021,Suncook,NH,43.1,-71.4,2
7/7/2021,Toronto,ON,43.7,-79.5,1
7/7/2021,York,PA,40,-76.7,1
7/6/2021,Austin,TX,30.2,-97.8,1
7/6/2021,Derby,VT,44.9,-72,1
7/6/2021,East Taunton,MA,41.9,-71,1
7/6/2021,Halifax,NS,44.7,-63.5,1
7/6/2021,Hanson,MA,42.1,-70.9,1
7/6/2021,Jefferson,NC,36.4,-81.4,1
7/6/2021,Keene,NH,42.9,-72.3,1
