Tag Code,Report Season,Location,latitude,longitude
ACLE071,2020,El Rosario,30.0595,-115.7257
ACLE654,2020,El Rosario,30.0595,-115.7257
ACLG097,2020,El Rosario,30.0595,-115.7257
ACLG280,2020,El Rosario,30.0595,-115.7257
ACLG705,2020,El Rosario,30.0595,-115.7257
ACLN280,2020,El Rosario,30.0595,-115.7257
ACLN311,2020,El Rosario,30.0595,-115.7257
ACLR027,2020,El Rosario,30.0595,-115.7257
ACLR776,2020,El Rosario,30.0595,-115.7257
ACLU566,2020,El Rosario,30.0595,-115.7257
ACLW120,2020,El Rosario,30.0595,-115.7257
ACLW453,2020,El Rosario,30.0595,-115.7257
ACLX259,2020,El Rosario,30.0595,-115.7257
ACMB136,2020,El Rosario,30.0595,-115.7257
ACMG304,2020,El Rosario,30.0595,-115.7257
ACMG604,2020,El Rosario,30.0595,-115.7257
ACMJ361,2020,El Rosario,30.0595,-115.7257
ACML998,2020,El Rosario,30.0595,-115.7257
ACMU206,2020,El Rosario,30.0595,-115.7257
ACMU271,2020,El Rosario,30.0595,-115.7257
ACMU489,2020,El Rosario,30.0595,-115.7257
ACNB072,2020,El Rosario,30.0595,-115.7257
ACNC505,2020,El Rosario,30.0595,-115.7257
ACNC634,2020,El Rosario,30.0595,-115.7257
ACNC999,2020,El Rosario,30.0595,-115.7257
ACNE696,2020,El Rosario,30.0595,-115.7257
ACNL045,2020,El Rosario,30.0595,-115.7257
ACNR653,2020,El Rosario,30.0595,-115.7257
ACNS308,2020,El Rosario,30.0595,-115.7257
ACNS658,2020,El Rosario,30.0595,-115.7257
ACNY831,2020,El Rosario,30.0595,-115.7257
ACNZ357,2020,El Rosario,30.0595,-115.7257
ACPB278,2020,El Rosario,30.0595,-115.7257
ACPB889,2020,El Rosario,30.0595,-115.7257
ACPE595,2020,El Rosario,30.0595,-115.7257
ACPL142,2020,El Rosario,30.0595,-115.7257
ACPM094,2020,El Rosario,30.0595,-115.7257
ACPT733,2020,El Rosario,30.0595,-115.7257
ACPW146,2020,El Rosario,30.0595,-115.7257
ACPX670,2020,El Rosario,30.0595,-115.7257
ACRA335,2020,El Rosario,30.0595,-115.7257
ACRB745,2020,El Rosario,30.0595,-115.7257
ACRE639,2020,El Rosario,30.0595,-115.7257
ACRM166,2020,El Rosario,30.0595,-115.7257
ACRS951,2020,El Rosario,30.0595,-115.7257
ACRT327,2020,El Rosario,30.0595,-115.7257
ACRY088,2020,El Rosario,30.0595,-115.7257
ACRY509,2020,El Rosario,30.0595,-115.7257
ACSB139,2020,El Rosario,30.0595,-115.7257
ACSC310,2020,El Rosario,30.0595,-115.7257
ACSC958,2020,El Rosario,30.0595,-115.7257
CFO075,2020,El Rosario,30.0595,-115.7257
CIC229,2020,El Rosario,30.0595,-115.7257
HHG522,2020,El Rosario,30.0595,-115.7257
HLM702,2020,El Rosario,30.0595,-115.7257
OO087,2020,El Rosario,30.0595,-115.7257
RLC111,2020,El Rosario,30.0595,-115.7257
RNY637,2020,El Rosario,30.0595,-115.7257
SRN058,2020,El Rosario,30.0595,-115.7257
TLJ572,2020,El Rosario,30.0595,-115.7257
TNM754,2020,El Rosario,30.0595,-115.7257
TNN056,2020,El Rosario,30.0595,-115.7257
UCZ198,2020,El Rosario,30.0595,-115.7257
UHM980,2020,El Rosario,30.0595,-115.7257
UJM710,2020,El Rosario,30.0595,-115.7257
UMX447,2020,El Rosario,30.0595,-115.7257
UPE557,2020,El Rosario,30.0595,-115.7257
WCE234,2020,El Rosario,30.0595,-115.7257
WEA065,2020,El Rosario,30.0595,-115.7257
WEG718,2020,El Rosario,30.0595,-115.7257
WEP507,2020,El Rosario,30.0595,-115.7257
WGR583,2020,El Rosario,30.0595,-115.7257
WGR615,2020,El Rosario,30.0595,-115.7257
WGR684,2020,El Rosario,30.0595,-115.7257
WGR685,2020,El Rosario,30.0595,-115.7257
WHY176,2020,El Rosario,30.0595,-115.7257
WJB907,2020,El Rosario,30.0595,-115.7257
WLA905,2020,El Rosario,30.0595,-115.7257
WPS914,2020,El Rosario,30.0595,-115.7257
XEP594,2020,El Rosario,30.0595,-115.7257
XTC711,2020,El Rosario,30.0595,-115.7257
YAJ205,2020,El Rosario,30.0595,-115.7257
YCG539,2020,El Rosario,30.0595,-115.7257
YEB009,2020,El Rosario,30.0595,-115.7257
YEW660,2020,El Rosario,30.0595,-115.7257
YJZ939,2020,El Rosario,30.0595,-115.7257
YLJ926,2020,El Rosario,30.0595,-115.7257
YPR523,2020,El Rosario,30.0595,-115.7257
YPZ135,2020,El Rosario,30.0595,-115.7257
YTZ797,2020,El Rosario,30.0595,-115.7257
YWC427,2020,El Rosario,30.0595,-115.7257
YYB640,2020,El Rosario,30.0595,-115.7257
ZBW423,2020,El Rosario,30.0595,-115.7257
AAAB726,2019,El Rosario,30.0595,-115.7257
AAAE030,2019,El Rosario,30.0595,-115.7257
AAAE365,2019,El Rosario,30.0595,-115.7257
AAAE442,2019,El Rosario,30.0595,-115.7257
AAAM288,2019,El Rosario,30.0595,-115.7257
AAAN572,2019,El Rosario,30.0595,-115.7257
AAAR944,2019,El Rosario,30.0595,-115.7257
AAAY110,2019,El Rosario,30.0595,-115.7257
AABB444,2019,El Rosario,30.0595,-115.7257
AABB627,2019,El Rosario,30.0595,-115.7257
AABC971,2019,El Rosario,30.0595,-115.7257
AABR229,2019,El Rosario,30.0595,-115.7257
AACG223,2019,El Rosario,30.0595,-115.7257
AACG553,2019,El Rosario,30.0595,-115.7257
AACS158,2019,El Rosario,30.0595,-115.7257
AAEA890,2019,El Rosario,30.0595,-115.7257
AAEC336,2019,El Rosario,30.0595,-115.7257
AAES259,2019,El Rosario,30.0595,-115.7257
AAHB211,2019,El Rosario,30.0595,-115.7257
AAJB219,2019,El Rosario,30.0595,-115.7257
