month,year,lat_range,adult_first_sight_dates,adult_first_sight_number,adult_first_sight_distinct_dates
4,2020,30+_TO_35,92,121,27
4,2020,35+_TO_40,280,321,30
4,2020,4O+_TO_45,8,8,6
5,1997,35+_TO_40,2,2,1
5,1997,4O+_TO_45,2,2,2
5,1998,25+_TO_30,2,2,2
5,1998,30+_TO_35,7,7,6
5,1998,35+_TO_40,24,24,14
5,1998,45+_TO_50,15,15,8
5,1998,4O+_TO_45,102,102,29
5,1998,5O+_OR_GREATER,2,2,2
5,1999,35+_TO_40,18,18,14
5,1999,45+_TO_50,28,28,10
5,1999,4O+_TO_45,111,111,26
5,2000,35+_TO_40,17,17,9
5,2000,45+_TO_50,20,20,16
5,2000,4O+_TO_45,124,124,29
5,2001,25+_TO_30,1,1,1
5,2001,30+_TO_35,9,9,7
5,2001,35+_TO_40,46,46,23
5,2001,45+_TO_50,41,41,15
5,2001,4O+_TO_45,176,176,31
5,2002,25+_TO_30,1,1,1
5,2002,30+_TO_35,6,6,5
5,2002,35+_TO_40,32,32,22
5,2002,45+_TO_50,30,30,9
5,2002,4O+_TO_45,113,113,25
5,2003,30+_TO_35,6,6,6
5,2003,35+_TO_40,17,17,15
5,2003,45+_TO_50,10,10,6
5,2003,4O+_TO_45,84,84,25
5,2004,30+_TO_35,5,5,4
5,2004,35+_TO_40,27,27,17
5,2004,45+_TO_50,5,5,4
5,2004,4O+_TO_45,73,73,26
5,2005,25+_TO_30,1,1,1
5,2005,30+_TO_35,2,2,2
5,2005,35+_TO_40,18,18,15
5,2005,45+_TO_50,12,12,7
5,2005,4O+_TO_45,71,71,21
5,2006,30+_TO_35,2,2,2
5,2006,35+_TO_40,8,8,7
5,2006,45+_TO_50,64,64,12
5,2006,4O+_TO_45,211,211,25
5,2006,5O+_OR_GREATER,1,1,1
5,2007,25+_TO_30,2,2,2
5,2007,30+_TO_35,6,6,6
5,2007,35+_TO_40,17,17,12
5,2007,45+_TO_50,77,77,18
5,2007,4O+_TO_45,182,182,28
5,2007,5O+_OR_GREATER,2,2,2
5,2008,30+_TO_35,1,1,1
5,2008,35+_TO_40,28,28,17
5,2008,45+_TO_50,10,10,7
5,2008,4O+_TO_45,139,139,30
5,2009,25+_TO_30,1,1,1
5,2009,30+_TO_35,11,11,10
5,2009,35+_TO_40,28,28,21
5,2009,45+_TO_50,18,18,11
5,2009,4O+_TO_45,168,168,29
5,2010,25+_TO_30,3,3,3
5,2010,30+_TO_35,17,17,13
5,2010,35+_TO_40,59,59,22
5,2010,45+_TO_50,76,76,13
5,2010,4O+_TO_45,250,250,29
5,2010,5O+_OR_GREATER,1,1,1
5,2011,25+_TO_30,2,2,2
5,2011,30+_TO_35,7,7,6
5,2011,35+_TO_40,33,33,20
5,2011,45+_TO_50,24,24,9
5,2011,4O+_TO_45,205,205,29
5,2012,25+_TO_30,2,2,2
5,2012,30+_TO_35,4,4,3
5,2012,35+_TO_40,42,42,19
5,2012,45+_TO_50,88,88,28
5,2012,4O+_TO_45,319,319,30
5,2012,5O+_OR_GREATER,7,7,5
5,2013,25+_TO_30,4,4,4
5,2013,30+_TO_35,17,17,11
5,2013,35+_TO_40,57,57,22
5,2013,45+_TO_50,7,7,2
5,2013,4O+_TO_45,105,105,23
5,2014,20+_TO_25,1,1,1
5,2014,25+_TO_30,7,7,6
5,2014,30+_TO_35,12,12,11
5,2014,35+_TO_40,86,86,28
5,2014,45+_TO_50,31,31,10
5,2014,4O+_TO_45,196,196,25
5,2015,25+_TO_30,8,8,7
5,2015,30+_TO_35,25,25,14
5,2015,35+_TO_40,67,67,27
5,2015,45+_TO_50,29,29,11
5,2015,4O+_TO_45,174,277,27
5,2016,25+_TO_30,1,1,1
5,2016,30+_TO_35,30,40,21
5,2016,35+_TO_40,94,110,27
5,2016,45+_TO_50,39,51,12
5,2016,4O+_TO_45,209,236,24
5,2017,25+_TO_30,1,4,1
5,2017,30+_TO_35,20,28,14
5,2017,35+_TO_40,70,93,23
5,2017,45+_TO_50,40,47,16
5,2017,4O+_TO_45,356,388,31
5,2018,25+_TO_30,4,5,4
5,2018,30+_TO_35,25,33,16
5,2018,35+_TO_40,206,235,31
5,2018,45+_TO_50,89,111,15
5,2018,4O+_TO_45,561,683,30
5,2019,25+_TO_30,1,2,1
5,2019,30+_TO_35,27,29,15
5,2019,35+_TO_40,162,197,30
5,2019,45+_TO_50,70,82,13
5,2019,4O+_TO_45,751,933,30
5,2020,25+_TO_30,4,8,4
5,2020,30+_TO_35,42,47,21
5,2020,35+_TO_40,246,288,31
5,2020,45+_TO_50,85,114,11
5,2020,4O+_TO_45,653,785,30
6,1997,4O+_TO_45,1,1,1
6,1997,5O+_OR_GREATER,2,2,1
6,1998,30+_TO_35,1,1,1
6,1998,35+_TO_40,5,5,5
6,1998,45+_TO_50,6,6,6
6,1998,4O+_TO_45,24,24,13
