month,year,lat_range,egg_first_sight_dates,egg_first_sight_number,egg_first_sight_distinct_dates
7,2018,45+_TO_50,8,44,8
7,2018,4O+_TO_45,51,370,23
7,2019,30+_TO_35,2,13,2
7,2019,35+_TO_40,10,54,9
7,2019,45+_TO_50,5,46,4
7,2019,4O+_TO_45,38,298,25
7,2019,5O+_OR_GREATER,1,2,1
7,2020,30+_TO_35,3,4,2
7,2020,35+_TO_40,31,97,20
7,2020,45+_TO_50,14,77,12
7,2020,4O+_TO_45,107,560,27
8,2007,30+_TO_35,1,1,1
8,2008,4O+_TO_45,1,1,1
8,2009,35+_TO_40,1,1,1
8,2013,25+_TO_30,1,1,1
8,2013,4O+_TO_45,2,2,2
8,2019,35+_TO_40,1,26,1
8,2020,25+_TO_30,1,7,1
9,2002,4O+_TO_45,1,1,1
10,2003,35+_TO_40,1,1,1
12,2004,25+_TO_30,1,1,1
12,2005,25+_TO_30,1,1,1
12,2014,25+_TO_30,1,1,1
12,2020,30+_TO_35,2,16,2
